id,title,genre,release_year,content_rating,tagline,director
0111161,The Shawshank Redemption,Crime,1994,R,Fear can hold you prisoner. Hope can set you free.,Frank Darabont
0068646,The Godfather,Crime,1972,R,An offer you can't refuse.,Francis Ford Coppola
0468569,The Dark Knight,Action,2008,PG-13,Why So Serious?,Christopher Nolan
0137523,Fight Club,Drama,1999,R,How much can you know about yourself if you've never been in a fight?,David Fincher
0110912,Pulp Fiction,Crime,1994,R,Just because you are a character doesn't mean you have character.,Quentin Tarantino
0108052,Schindler's List,Biography,1993,R,Whoever saves one life; saves the world entire.,Steven Spielberg
1375666,Inception,Action,2010,PG-13,Your mind is the scene of the crime.,Christopher Nolan
0120737,The Lord of the Rings: The Fellowship of the Ring,Adventure,2001,PG-13,One ring to rule them all,Peter Jackson
0109830,Forrest Gump,Drama,1994,PG-13,The world will never be the same; once you've seen it through the eyes of Forrest Gump.,Robert Zemeckis
0816692,Interstellar,Adventure,2014,PG-13,Mankind was born on Earth. It was never meant to die here.,Christopher Nolan
0076759,Star Wars,Action,1977,PG,A long time ago in a galaxy far; far away...,George Lucas
0133093,The Matrix,Action,1999,R,Welcome to the Real World.,Lilly Wachowski; Lana Wachowski
