id,title,genre,release_year,content_rating,tagline,director
0111161,The Shawshank Redemption,Crime,1994,R,Fear can hold you prisoner. Hope can set you free.,Frank Darabont
0068646,The Godfather,Crime,1972,R,An offer you can't refuse.,Francis Ford Coppola
0071562,The Godfather: Part II,Crime,1974,R,I don't feel I have to wipe everybody out; Tom. Just my enemies.,Francis Ford Coppola
0468569,The Dark Knight,Action,2008,PG-13,Why So Serious?,Christopher Nolan
0137523,Fight Club,Drama,1999,R,How much can you know about yourself if you've never been in a fight?,David Fincher
0110912,Pulp Fiction,Crime,1994,R,Just because you are a character doesn't mean you have character.,Quentin Tarantino
0167260,The Lord of the Rings: The Return of the King,Adventure,2003,PG-13,The eye of the enemy is moving.,Peter Jackson
0108052,Schindler's List,Biography,1993,R,Whoever saves one life; saves the world entire.,Steven Spielberg
1375666,Inception,Action,2010,PG-13,Your mind is the scene of the crime.,Christopher Nolan
0120737,The Lord of the Rings: The Fellowship of the Ring,Adventure,2001,PG-13,One ring to rule them all,Peter Jackson
0167261,The Lord of the Rings: The Two Towers,Adventure,2002,PG-13,A New Power Is Rising.,Peter Jackson
0109830,Forrest Gump,Drama,1994,PG-13,The world will never be the same; once you've seen it through the eyes of Forrest Gump.,Robert Zemeckis
0816692,Interstellar,Adventure,2014,PG-13,Mankind was born on Earth. It was never meant to die here.,Christopher Nolan
0076759,Star Wars,Action,1977,PG,A long time ago in a galaxy far; far away...,George Lucas
0133093,The Matrix,Action,1999,R,Welcome to the Real World.,Lilly Wachowski; Lana Wachowski
0114369,Se7en,Drama,1995,R,Seven deadly sins. Seven ways to die.,David Fincher
0114814,The Usual Suspects,Crime,1995,R,Five Criminals. One Line Up. No Coincidence.,Bryan Singer
0099685,Goodfellas,Biography,1990,R,Three Decades of Life in the Mafia.,Martin Scorsese
2582802,Whiplash,Drama,2014,R,The road to greatness can take you to the edge.,Damien Chazelle
0082971,Raiders of the Lost Ark,Action,1981,PG,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,Steven Spielberg
0120815,Saving Private Ryan,Action,1998,R,The mission is a man.,Steven Spielberg
0120586,American History X,Crime,1998,R,Some Legacies Must End.,Tony Kaye
0155975,Psycho,Horror,1998,R,A new vision of a classic nightmare.,Gus Van Sant
0166322,Rear Window,Mystery,1998,APPROVED,Who's watching who?,Jeff Bleckner
0102926,The Silence of the Lambs,Drama,1991,R,To enter the mind of a killer she must challenge the mind of a madman.,Jonathan Demme
0054215,Psycho,Horror,1960,R,The master of suspense moves his cameras into the icy blackness of the unexplored!,Alfred Hitchcock
1187043,3 Idiots,Comedy,2009,PG-13,Don't BE A STUPID BE AN I.D.I.O.T.,Rajkumar Hirani
0120689,The Green Mile,Crime,1999,R,Miracles do happen.,Frank Darabont
0253474,The Pianist,Biography,2002,R,Music was his passion. Survival was his masterpiece.,Roman Polanski
0110357,The Lion King,Animation,1994,G,Life's greatest adventure is finding your place in the Circle of Life.,Roger Allers; Rob Minkoff
1345836,The Dark Knight Rises,Action,2012,PG-13,The Legend Ends,Christopher Nolan
1853728,Django Unchained,Western,2012,R,Life; liberty and the pursuit of vengeance.,Quentin Tarantino
0118460,The Shining,Horror,1997,R,110 empty hotel rooms - filled with horror!,Mick Garris
0088763,Back to the Future,Adventure,1985,PG,He's the only kid ever to get into trouble before he was born.,Robert Zemeckis
0407887,The Departed,Crime,2006,R,Lies. Betrayal. Sacrifice. How far will you take it?,Martin Scorsese
0482571,The Prestige,Drama,2006,PG-13,Are You Watching Closely?,Christopher Nolan
0081505,The Shining,Horror,1980,R,A masterpiece of modern horror.,Stanley Kubrick
0078748,Alien,Horror,1979,R,In space no one can hear you scream.,Ridley Scott
0078788,Apocalypse Now,Drama,1979,R,This is the end...,Francis Ford Coppola
0104346,Gladiator,Action,1992,R,Nobody owns Tommy Riley. Nobody.,Rowdy Herrington
0172495,Gladiator,Action,2000,R,A Hero Will Rise.,Ridley Scott
0209144,Memento,Mystery,2000,R,Some memories are best forgotten.,Christopher Nolan
0103064,Terminator 2: Judgment Day,Action,1991,R,It's nothing personal.,James Cameron
0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,1964,PG,The hot-line suspense comedy,Stanley Kubrick
0435761,Toy Story 3,Animation,2010,G,No toy gets left behind.,Lee Unkrich
